time_captured,JPM_Open
2010-03-10,42.87
2010-03-11,42.91
2010-03-12,43.34
2010-03-15,42.92
2010-03-16,43.35
2010-03-17,43.31
2010-03-18,43.75
2010-03-19,43.72
2010-03-22,43.07
2010-03-23,43.85
2010-03-24,44.44
2010-03-25,44.98
2010-03-26,45.04
2010-03-29,45.25
2010-03-30,44.9
2010-03-31,44.31
2010-04-01,45.03
2010-04-05,45.28
2010-04-06,45.23
2010-04-07,45.83
2010-04-08,45.16
2010-04-09,45.88
2010-04-12,46.03
2010-04-13,46.04
2010-04-14,47.4
2010-04-15,47.65
2010-04-16,47.67
2010-04-19,45.23
2010-04-20,45.77
2010-04-21,46.04
2010-04-22,44.91
2010-04-23,44.73
2010-04-26,44.78
2010-04-27,43.48
2010-04-28,42.84
2010-04-29,43.89
2010-04-30,44.02
2010-05-03,42.97
2010-05-04,42.97
2010-05-05,42.11
2010-05-06,42.63
2010-05-07,41.03
2010-05-10,42.32
2010-05-11,41.46
2010-05-12,41.74
2010-05-13,41.44
2010-05-14,40.1
2010-05-17,39.93
2010-05-18,40.62
2010-05-19,38.54
2010-05-20,38.55
2010-05-21,37.02
2010-05-24,40.16
2010-05-25,37.67
2010-05-26,39.19
2010-05-27,39.58
2010-05-28,40.33
2010-06-01,39.32
2010-06-02,39.17
2010-06-03,39.86
2010-06-04,38.49
2010-06-07,37.79
2010-06-08,36.86
2010-06-09,38.15
2010-06-10,37.68
2010-06-11,37.79
2010-06-14,37.97
2010-06-15,37.55
2010-06-16,38.02
2010-06-17,38.6
2010-06-18,38.6
2010-06-21,39.55
2010-06-22,38.93
2010-06-23,38.29
2010-06-24,38.55
2010-06-25,38.78
2010-06-28,39.55
2010-06-29,37.91
2010-06-30,37.02
2010-07-01,36.54
2010-07-02,36.31
2010-07-06,36.69
2010-07-07,36.64
2010-07-08,38.78
2010-07-09,37.75
2010-07-12,38.86
2010-07-13,39.81
2010-07-14,40.15
2010-07-15,40.72
2010-07-16,40.28
2010-07-19,39.03
2010-07-20,38.32
2010-07-21,40.25
2010-07-22,38.96
2010-07-23,39.17
2010-07-26,39.8
2010-07-27,40.74
2010-07-28,40.44
2010-07-29,40.71
2010-07-30,39.72
2010-08-02,40.98
2010-08-03,41.5
2010-08-04,41.22
2010-08-05,40.97
2010-08-06,40.74
2010-08-09,40.55
2010-08-10,39.67
2010-08-11,38.65
2010-08-12,37.36
2010-08-13,37.8
2010-08-16,37.32
2010-08-17,37.97
2010-08-18,37.39
2010-08-19,37.66
2010-08-20,37.11
2010-08-23,37.21
2010-08-24,36.59
2010-08-25,35.95
2010-08-26,36.36
2010-08-27,35.87
2010-08-30,36.4
2010-08-31,35.94
2010-09-01,36.74
2010-09-02,37.84
2010-09-03,38.47
2010-09-07,38.73
2010-09-08,38.34
2010-09-09,39.93
2010-09-10,39.92
2010-09-13,40.64
2010-09-14,40.97
2010-09-15,40.51
2010-09-16,40.72
2010-09-17,41.03
2010-09-20,40.24
2010-09-21,41.31
2010-09-22,40.43
2010-09-23,39.63
2010-09-24,39.51
2010-09-27,39.54
2010-09-28,39.36
2010-09-29,38.79
2010-09-30,38.49
2010-10-01,38.34
2010-10-04,38.98
2010-10-05,39.36
2010-10-06,39.56
2010-10-07,40.11
2010-10-08,39.67
2010-10-11,39.52
2010-10-12,39.47
2010-10-13,40.66
2010-10-14,39.25
2010-10-15,38.87
2010-10-18,37.15
2010-10-19,37.9
2010-10-20,38.0
2010-10-21,38.19
2010-10-22,37.5
2010-10-25,37.97
2010-10-26,36.98
2010-10-27,37.06
2010-10-28,37.7
2010-10-29,37.45
2010-11-01,37.61
2010-11-02,37.53
2010-11-03,36.98
2010-11-04,38.14
2010-11-05,39.89
2010-11-08,40.86
2010-11-09,40.43
2010-11-10,39.87
2010-11-11,40.27
2010-11-12,39.86
2010-11-15,39.82
2010-11-16,39.74
2010-11-17,39.58
2010-11-18,39.57
2010-11-19,39.41
2010-11-22,39.06
2010-11-23,38.01
2010-11-24,37.83
2010-11-26,37.71
2010-11-29,37.47
2010-11-30,37.49
2010-12-01,37.95
2010-12-02,38.43
2010-12-03,39.07
2010-12-06,39.48
2010-12-07,40.35
2010-12-08,39.36
2010-12-09,40.67
2010-12-10,40.89
2010-12-13,41.57
2010-12-14,41.44
2010-12-15,40.73
2010-12-16,40.42
2010-12-17,40.06
2010-12-20,39.83
2010-12-21,40.16
2010-12-22,41.17
2010-12-23,42.15
2010-12-27,41.82
2010-12-28,42.7
2010-12-29,42.58
2010-12-30,42.31
2010-12-31,42.11
2011-01-03,43.0
2011-01-04,43.78
2011-01-05,43.92
2011-01-06,44.4
2011-01-07,44.54
2011-01-10,43.27
2011-01-11,43.7
2011-01-12,44.44
2011-01-13,44.94
2011-01-14,44.51
2011-01-18,45.02
2011-01-19,44.55
2011-01-20,43.83
2011-01-21,45.05
2011-01-24,45.21
2011-01-25,44.82
2011-01-26,45.2
2011-01-27,44.98
2011-01-28,45.05
2011-01-31,44.41
2011-02-01,45.2
2011-02-02,45.79
2011-02-03,45.48
2011-02-04,45.0
2011-02-07,44.75
2011-02-08,45.49
2011-02-09,45.36
2011-02-10,45.1
2011-02-11,45.4
2011-02-14,46.6
2011-02-15,46.56
2011-02-16,47.15
2011-02-17,47.77
2011-02-18,47.82
2011-02-22,47.2
2011-02-23,46.04
2011-02-24,45.63
2011-02-25,46.25
2011-02-28,46.81
2011-03-01,46.47
2011-03-02,45.39
2011-03-03,45.72
2011-03-04,45.98
2011-03-07,45.62
2011-03-08,45.38
2011-03-09,46.33
2011-03-10,46.08
2011-03-11,45.28
2011-03-14,45.42
2011-03-15,44.55
2011-03-16,44.64
2011-03-17,44.46
2011-03-18,45.24
2011-03-21,46.28
2011-03-22,45.66
2011-03-23,45.29
2011-03-24,45.7
2011-03-25,45.7
2011-03-28,46.1
2011-03-29,45.83
2011-03-30,46.53
2011-03-31,46.05
2011-04-01,46.55
2011-04-04,46.12
2011-04-05,46.17
2011-04-06,46.81
2011-04-07,47.64
2011-04-08,47.52
2011-04-11,47.0
2011-04-12,46.55
2011-04-13,47.24
2011-04-14,45.68
2011-04-15,45.24
2011-04-18,44.27
2011-04-19,44.26
2011-04-20,44.9
2011-04-21,44.68
2011-04-25,44.65
2011-04-26,44.85
2011-04-27,45.3
2011-04-28,45.61
2011-04-29,45.81
2011-05-02,45.94
2011-05-03,44.95
2011-05-04,45.98
2011-05-05,45.24
2011-05-06,45.47
2011-05-09,44.75
2011-05-10,45.06
2011-05-11,45.02
2011-05-12,44.1
2011-05-13,44.06
2011-05-16,42.97
2011-05-17,42.68
2011-05-18,43.72
2011-05-19,44.32
2011-05-20,43.83
2011-05-23,42.4
2011-05-24,42.77
2011-05-25,42.11
2011-05-26,42.12
2011-05-27,42.7
2011-05-31,43.24
2011-06-01,42.87
2011-06-02,41.93
2011-06-03,41.09
2011-06-06,41.1
2011-06-07,40.92
2011-06-08,40.58
2011-06-09,40.59
2011-06-10,40.59
2011-06-13,41.29
2011-06-14,42.13
2011-06-15,41.02
2011-06-16,40.63
2011-06-17,40.85
2011-06-20,40.5
2011-06-21,40.68
2011-06-22,40.67
2011-06-23,40.12
2011-06-24,40.05
2011-06-27,39.4
2011-06-28,40.07
2011-06-29,40.04
2011-06-30,40.72
2011-07-01,40.81
2011-07-05,41.51
2011-07-06,40.59
2011-07-07,41.19
2011-07-08,40.7
2011-07-11,40.19
2011-07-12,39.24
2011-07-13,39.67
2011-07-14,41.18
2011-07-15,40.61
2011-07-18,39.79
2011-07-19,39.92
2011-07-20,40.69
2011-07-21,41.57
2011-07-22,42.27
2011-07-25,41.52
2011-07-26,41.5
2011-07-27,41.2
2011-07-28,40.69
2011-07-29,40.24
2011-08-01,41.16
2011-08-02,40.1
2011-08-03,39.76
2011-08-04,39.31
2011-08-05,38.3
2011-08-08,36.23
2011-08-09,35.38
2011-08-10,35.52
2011-08-11,34.63
2011-08-12,37.14
2011-08-15,36.53
2011-08-16,36.27
2011-08-17,36.46
