time_captured,CVX_Open
2010-07-27,74.86
2010-07-28,75.13
2010-07-29,75.89
2010-07-30,75.15
2010-08-02,77.62
2010-08-03,77.92
2010-08-04,78.78
2010-08-05,78.51
2010-08-06,78.23
2010-08-09,79.3
2010-08-10,78.54
2010-08-11,77.97
2010-08-12,76.41
2010-08-13,77.04
2010-08-16,77.11
2010-08-17,77.57
2010-08-18,77.61
2010-08-19,76.72
2010-08-20,75.46
2010-08-23,75.34
2010-08-24,74.27
2010-08-25,73.32
2010-08-26,74.37
2010-08-27,73.89
2010-08-30,74.63
2010-08-31,73.51
2010-09-01,75.36
2010-09-02,76.75
2010-09-03,77.39
2010-09-07,77.68
2010-09-08,77.16
2010-09-09,77.89
2010-09-10,78.33
2010-09-13,79.37
2010-09-14,79.25
2010-09-15,79.06
2010-09-16,78.99
2010-09-17,79.42
2010-09-20,78.54
2010-09-21,80.04
2010-09-22,79.93
2010-09-23,78.52
2010-09-24,79.26
2010-09-27,80.3
2010-09-28,80.45
2010-09-29,80.74
2010-09-30,81.69
2010-10-01,81.89
2010-10-04,81.89
2010-10-05,82.18
2010-10-06,83.29
2010-10-07,84.42
2010-10-08,83.47
2010-10-11,83.85
2010-10-12,83.36
2010-10-13,83.45
2010-10-14,83.65
2010-10-15,84.39
2010-10-18,83.48
2010-10-19,83.38
2010-10-20,83.14
2010-10-21,84.51
2010-10-22,84.79
2010-10-25,85.13
2010-10-26,84.65
2010-10-27,84.64
2010-10-28,85.27
2010-10-29,82.89
2010-11-01,83.15
2010-11-02,82.36
2010-11-03,82.66
2010-11-04,84.16
2010-11-05,84.71
2010-11-08,84.62
2010-11-09,83.91
2010-11-10,83.78
2010-11-11,85.0
2010-11-12,85.46
2010-11-15,85.74
2010-11-16,83.55
2010-11-17,82.41
2010-11-18,83.04
2010-11-19,83.69
2010-11-22,83.47
2010-11-23,82.47
2010-11-24,82.15
2010-11-26,82.44
2010-11-29,81.3
2010-11-30,80.64
2010-12-01,82.15
2010-12-02,82.7
2010-12-03,84.49
2010-12-06,84.79
2010-12-07,85.92
2010-12-08,86.51
2010-12-09,86.79
2010-12-10,86.96
2010-12-13,87.72
2010-12-14,88.58
2010-12-15,88.02
2010-12-16,88.08
2010-12-17,88.85
2010-12-20,88.96
2010-12-21,89.34
2010-12-22,89.62
2010-12-23,89.89
2010-12-27,90.49
2010-12-28,90.32
2010-12-29,91.54
2010-12-30,91.32
2010-12-31,91.58
2011-01-03,91.66
2011-01-04,92.28
2011-01-05,90.92
2011-01-06,91.76
2011-01-07,90.98
2011-01-10,90.95
