time_captured,MSFT_Open
2014-05-27,40.26
2014-05-28,40.14
2014-05-29,40.15
2014-05-30,40.45
2014-06-02,40.95
2014-06-03,40.6
2014-06-04,40.21
2014-06-05,40.59
2014-06-06,41.48
2014-06-09,41.39
2014-06-10,41.03
2014-06-11,40.93
2014-06-12,40.81
2014-06-13,41.1
2014-06-16,41.04
2014-06-17,41.29
2014-06-18,41.6
2014-06-19,41.57
2014-06-20,41.44
2014-06-23,41.73
2014-06-24,41.83
2014-06-25,41.7
2014-06-26,41.93
2014-06-27,41.61
2014-06-30,42.17
2014-07-01,41.86
2014-07-02,41.73
2014-07-03,41.91
2014-07-07,41.75
2014-07-08,41.87
2014-07-09,41.98
2014-07-10,41.37
2014-07-11,41.7
2014-07-14,42.22
2014-07-15,42.33
2014-07-16,42.51
2014-07-17,45.45
2014-07-18,44.65
2014-07-21,44.56
2014-07-22,45.0
2014-07-23,45.45
2014-07-24,44.93
2014-07-25,44.3
2014-07-28,44.36
2014-07-29,43.91
2014-07-30,44.07
2014-07-31,43.38
2014-08-01,43.21
2014-08-04,42.97
2014-08-05,43.37
2014-08-06,42.74
2014-08-07,42.84
2014-08-08,43.23
2014-08-11,43.26
2014-08-12,43.04
2014-08-13,43.68
2014-08-14,44.08
2014-08-15,44.58
2014-08-18,44.94
2014-08-19,44.97
2014-08-20,45.34
2014-08-21,44.84
2014-08-22,45.35
2014-08-25,45.4
2014-08-26,45.31
2014-08-27,44.9
2014-08-28,44.75
2014-08-29,45.09
2014-09-02,45.43
2014-09-03,44.53
2014-09-04,44.74
2014-09-05,45.11
2014-09-08,46.02
2014-09-09,46.47
2014-09-10,46.82
2014-09-11,46.74
2014-09-12,46.91
2014-09-15,46.54
2014-09-16,46.39
2014-09-17,46.26
2014-09-18,46.59
2014-09-19,46.81
2014-09-22,47.3
2014-09-23,46.85
2014-09-24,46.63
2014-09-25,46.88
2014-09-26,45.93
2014-09-29,45.98
2014-09-30,46.37
2014-10-01,46.27
2014-10-02,45.83
2014-10-03,45.98
2014-10-06,46.12
2014-10-07,45.86
2014-10-08,45.48
2014-10-09,46.5
2014-10-10,45.6
2014-10-13,43.82
2014-10-14,43.87
2014-10-15,43.0
2014-10-16,42.53
2014-10-17,43.2
2014-10-20,43.06
2014-10-21,44.36
2014-10-22,45.0
2014-10-23,44.62
2014-10-24,46.83
2014-10-27,45.71
2014-10-28,45.86
2014-10-29,46.44
2014-10-30,46.32
2014-10-31,46.94
2014-11-03,46.89
2014-11-04,47.3
2014-11-05,47.8
2014-11-06,47.86
2014-11-07,48.92
2014-11-10,48.65
2014-11-11,48.85
2014-11-12,48.56
2014-11-13,48.81
2014-11-14,49.74
2014-11-17,49.41
2014-11-18,49.13
2014-11-19,48.66
2014-11-20,48.0
2014-11-21,49.02
2014-11-24,47.99
2014-11-25,47.66
2014-11-26,47.49
2014-11-28,47.95
2014-12-01,47.88
2014-12-02,48.84
2014-12-03,48.44
2014-12-04,48.39
2014-12-05,48.82
2014-12-08,48.26
2014-12-09,47.11
2014-12-10,47.58
2014-12-11,47.08
2014-12-12,46.78
2014-12-15,47.2
2014-12-16,45.9
2014-12-17,45.05
2014-12-18,46.58
2014-12-19,47.63
2014-12-22,47.78
2014-12-23,48.37
2014-12-24,48.64
2014-12-26,48.41
2014-12-29,47.7
2014-12-30,47.44
2014-12-31,46.73
2015-01-02,46.66
2015-01-05,46.37
2015-01-06,46.38
2015-01-07,45.98
2015-01-08,46.75
2015-01-09,47.61
2015-01-12,47.42
2015-01-13,46.97
2015-01-14,45.96
2015-01-15,46.22
2015-01-16,45.31
2015-01-20,46.3
2015-01-21,45.94
2015-01-22,46.38
2015-01-23,47.36
2015-01-26,47.0
2015-01-27,42.95
2015-01-28,42.74
2015-01-29,40.93
2015-01-30,41.55
2015-02-02,40.59
2015-02-03,41.63
2015-02-04,41.94
2015-02-05,42.22
2015-02-06,42.68
2015-02-09,42.24
2015-02-10,42.74
2015-02-11,42.65
2015-02-12,42.66
2015-02-13,43.38
2015-02-17,43.97
2015-02-18,43.63
2015-02-19,43.18
2015-02-20,43.51
2015-02-23,43.7
2015-02-24,44.15
2015-02-25,43.95
2015-02-26,43.99
