time_captured,MMM_Volume
2010-08-16,2362017
2010-08-17,4383007
2010-08-18,3198889
2010-08-19,3959368
2010-08-20,4355383
2010-08-23,3243551
2010-08-24,4477258
2010-08-25,3578835
2010-08-26,3586034
2010-08-27,3445848
2010-08-30,2414277
2010-08-31,5021795
2010-09-01,4506967
2010-09-02,2484374
2010-09-03,2939611
2010-09-07,3105595
2010-09-08,2789571
2010-09-09,2473188
2010-09-10,2166365
2010-09-13,2868223
2010-09-14,3319833
2010-09-15,2177335
2010-09-16,2436434
2010-09-17,5972925
2010-09-20,3665878
2010-09-21,3685315
2010-09-22,2473002
2010-09-23,1994061
2010-09-24,3428975
2010-09-27,2494696
2010-09-28,2587365
2010-09-29,2915919
2010-09-30,3636728
2010-10-01,3206788
2010-10-04,2291747
2010-10-05,4621928
2010-10-06,4145212
2010-10-07,3331607
2010-10-08,2266729
2010-10-11,2611419
2010-10-12,2503188
2010-10-13,3183841
2010-10-14,2316552
2010-10-15,3098126
2010-10-18,2694830
2010-10-19,3888419
2010-10-20,2820634
2010-10-21,5637773
2010-10-22,2310722
2010-10-25,3193069
2010-10-26,2268816
2010-10-27,3399840
2010-10-28,16228028
2010-10-29,6085807
2010-11-01,4468860
2010-11-02,3815266
2010-11-03,4081973
2010-11-04,6606049
2010-11-05,3724724
2010-11-08,5515214
2010-11-09,4920453
2010-11-10,3999522
2010-11-11,5850757
2010-11-12,4123781
2010-11-15,3131245
2010-11-16,5703666
2010-11-17,3131180
2010-11-18,3576326
2010-11-19,3221217
2010-11-22,2976216
2010-11-23,3934636
2010-11-24,3859150
2010-11-26,1661261
2010-11-29,3589925
2010-11-30,3463696
2010-12-01,5153681
2010-12-02,4259664
2010-12-03,2911458
2010-12-06,3165513
2010-12-07,10361733
2010-12-08,5146773
2010-12-09,3598277
2010-12-10,4453235
2010-12-13,4265210
2010-12-14,2873898
2010-12-15,4760391
2010-12-16,2670589
2010-12-17,3657173
2010-12-20,4002506
2010-12-21,3266770
2010-12-22,2396791
2010-12-23,1890335
2010-12-27,1585444
2010-12-28,1769915
2010-12-29,1666804
2010-12-30,1502884
2010-12-31,1791416
2011-01-03,2632781
2011-01-04,2644054
2011-01-05,4081543
2011-01-06,3453076
2011-01-07,3355467
