time_captured,CAT_Volume
2010-02-02,7667988
2010-02-03,6345989
2010-02-04,11644933
2010-02-05,15989519
2010-02-08,8668847
2010-02-09,15499119
2010-02-10,8581640
2010-02-11,16411674
2010-02-12,13447622
2010-02-16,7365370
2010-02-17,8454108
2010-02-18,6846924
2010-02-19,8009433
2010-02-22,6994824
2010-02-23,10314323
2010-02-24,5810076
2010-02-25,9966144
2010-02-26,6108486
2010-03-01,8399615
2010-03-02,6584292
2010-03-03,8833775
2010-03-04,6199197
2010-03-05,6628346
2010-03-08,4755705
2010-03-09,7693041
2010-03-10,6531417
2010-03-11,6173881
2010-03-12,9689526
2010-03-15,7907528
2010-03-16,7282247
2010-03-17,7925556
2010-03-18,7206998
2010-03-19,9425480
2010-03-22,7512883
2010-03-23,14316690
2010-03-24,11448093
2010-03-25,11363117
2010-03-26,7887298
2010-03-29,6986497
2010-03-30,6183557
2010-03-31,6661317
2010-04-01,7830447
2010-04-05,6696129
2010-04-06,6388982
2010-04-07,6972955
2010-04-08,5418001
2010-04-09,6023209
2010-04-12,11837386
2010-04-13,7001609
2010-04-14,5497774
2010-04-15,7129579
2010-04-16,10385998
2010-04-19,7969489
2010-04-20,7695334
2010-04-21,6359395
2010-04-22,8722084
2010-04-23,9046377
2010-04-26,20134283
2010-04-27,14324300
2010-04-28,8233028
2010-04-29,7917403
2010-04-30,9428994
2010-05-03,7886360
2010-05-04,12561984
2010-05-05,11422937
2010-05-06,19370709
2010-05-07,15725835
2010-05-10,11859218
2010-05-11,7482206
2010-05-12,7793053
2010-05-13,6531293
2010-05-14,9939773
2010-05-17,11881237
2010-05-18,9597380
2010-05-19,18584744
2010-05-20,22807950
2010-05-21,15890266
2010-05-24,11185253
2010-05-25,13795845
2010-05-26,11568896
2010-05-27,9558184
2010-05-28,7709405
2010-06-01,8346328
2010-06-02,9455113
2010-06-03,8982766
2010-06-04,10279591
2010-06-07,8907089
2010-06-08,11606276
2010-06-09,9752678
2010-06-10,9704616
2010-06-11,7341745
2010-06-14,9783561
2010-06-15,11871974
2010-06-16,10565454
2010-06-17,10579946
2010-06-18,11005511
2010-06-21,11652356
2010-06-22,8660136
2010-06-23,9037550
2010-06-24,8658229
2010-06-25,12068839
2010-06-28,6836814
2010-06-29,13064257
2010-06-30,9636191
2010-07-01,11598507
2010-07-02,7878228
2010-07-06,9358700
2010-07-07,7593290
2010-07-08,6060571
2010-07-09,6458036
2010-07-12,4916438
2010-07-13,10081470
2010-07-14,6851229
2010-07-15,8102564
2010-07-16,8504059
2010-07-19,6826310
2010-07-20,9472054
2010-07-21,11432336
2010-07-22,15911440
2010-07-23,8873063
2010-07-26,8882683
2010-07-27,11950906
2010-07-28,7611561
2010-07-29,7671492
2010-07-30,7221213
2010-08-02,6304007
2010-08-03,5885912
2010-08-04,6211014
2010-08-05,7414983
2010-08-06,5463349
2010-08-09,3629177
2010-08-10,6084174
2010-08-11,9229380
2010-08-12,7639870
2010-08-13,6663536
2010-08-16,5436842
2010-08-17,5946844
2010-08-18,4989745
2010-08-19,9625389
2010-08-20,8023689
2010-08-23,8880459
2010-08-24,9677889
2010-08-25,8681884
2010-08-26,7085601
2010-08-27,7488027
2010-08-30,5133896
2010-08-31,6760676
2010-09-01,9071150
2010-09-02,5300727
2010-09-03,7837604
2010-09-07,6846728
2010-09-08,6323171
2010-09-09,5355814
2010-09-10,5018591
2010-09-13,7694541
2010-09-14,6048630
2010-09-15,5507049
2010-09-16,6234221
2010-09-17,11341760
2010-09-20,8896101
2010-09-21,14968277
2010-09-22,8386055
2010-09-23,8747095
2010-09-24,14218503
2010-09-27,8363981
2010-09-28,7786777
2010-09-29,7943671
2010-09-30,11940734
2010-10-01,8543634
2010-10-04,6418653
2010-10-05,7140291
2010-10-06,6258821
2010-10-07,8980469
2010-10-08,14296553
2010-10-11,4599860
2010-10-12,10042590
2010-10-13,8501408
2010-10-14,5667720
2010-10-15,6526953
2010-10-18,6547894
2010-10-19,9858427
2010-10-20,9662269
2010-10-21,17736825
2010-10-22,6447073
2010-10-25,6484763
2010-10-26,6246068
2010-10-27,6789815
2010-10-28,7063171
2010-10-29,4563895
2010-11-01,7476255
2010-11-02,4943880
2010-11-03,5776651
2010-11-04,13046795
2010-11-05,6280450
2010-11-08,4284458
2010-11-09,6030035
2010-11-10,5950969
2010-11-11,5006572
2010-11-12,6156836
2010-11-15,15814170
2010-11-16,12527456
2010-11-17,5411385
2010-11-18,6645452
2010-11-19,5742132
2010-11-22,6411104
2010-11-23,5739157
2010-11-24,5881485
2010-11-26,2521505
2010-11-29,5086979
2010-11-30,7774673
2010-12-01,8858542
2010-12-02,6349161
2010-12-03,4999657
2010-12-06,4347334
2010-12-07,11247624
2010-12-08,5256223
2010-12-09,3832926
2010-12-10,3314243
2010-12-13,6637043
2010-12-14,4948935
2010-12-15,8323246
2010-12-16,4863640
2010-12-17,6472637
2010-12-20,3523194
2010-12-21,4110961
2010-12-22,2611768
2010-12-23,2206799
2010-12-27,2620732
2010-12-28,2995498
2010-12-29,2779642
2010-12-30,2325586
2010-12-31,2542626
2011-01-03,5233321
2011-01-04,6120629
2011-01-05,4124427
2011-01-06,4109465
2011-01-07,4548061
